gene1,gene2,corr
16,18,0.9874
16,39,-0.9697
16,22,-0.9771
16,2,-0.9844
16,24,0.9566
16,15,-0.9844
16,21,-0.9783
16,47,-0.9649
16,10,0.9567
16,38,-0.9884
16,12,0.9838
16,17,0.9667
16,31,-0.9438
16,42,-0.9488
16,29,0.9682
16,48,-0.9436
16,6,-0.8881
16,49,-0.8497
16,41,-0.88
16,40,-0.9239
16,35,-0.6424
16,33,0.8396
16,0,0.7103
16,45,0.83
16,14,0.8767
16,30,-0.775
16,25,0.8273
16,27,-0.8559
16,28,-0.6405
16,7,0.017
16,1,-0.8142
16,23,0.0222
16,3,0.2783
16,20,0.3236
16,32,-0.5999
16,19,-0.293
16,5,0.2074
16,4,-0.4523
16,37,-0.0149
16,34,-0.7919
16,43,-0.0582
16,9,-0.6915
16,11,0.6276
16,44,-0.0187
16,8,-0.5869
16,13,0.2432
16,36,0.7871
16,26,-0.055
16,46,-0.2412
18,39,-0.9494
18,22,-0.9856
18,2,-0.9952
18,24,0.9435
18,15,-0.9598
18,21,-0.9709
18,47,-0.9817
18,10,0.9788
18,38,-0.962
18,12,0.9571
18,17,0.9428
18,31,-0.9249
18,42,-0.9022
18,29,0.9408
18,48,-0.8811
18,6,-0.8777
18,49,-0.8537
18,41,-0.831
18,40,-0.8624
18,35,-0.7454
18,33,0.8865
18,0,0.7278
18,45,0.8487
18,14,0.8848
18,30,-0.7277
18,25,0.783
18,27,-0.866
18,28,-0.551
18,7,-0.0379
18,1,-0.7745
18,23,-0.085
18,3,0.2747
18,20,0.4108
18,32,-0.6047
18,19,-0.3439
18,5,0.135
18,4,-0.3687
18,37,0.0222
18,34,-0.7041
18,43,-0.0358
18,9,-0.6907
18,11,0.6242
18,44,-0.0313
18,8,-0.6118
18,13,0.3524
18,36,0.7914
18,26,-0.0906
18,46,-0.1001
39,22,0.9587
39,2,0.957
39,24,-0.9935
39,15,0.978
39,21,0.9854
39,47,0.9557
39,10,-0.9191
39,38,0.9501
39,12,-0.9675
39,17,-0.9778
39,31,0.9239
39,42,0.9811
39,29,-0.9949
39,48,0.9358
39,6,0.9443
39,49,0.9038
39,41,0.9001
39,40,0.8967
39,35,0.5988
39,33,-0.885
39,0,-0.7481
39,45,-0.9208
39,14,-0.8828
39,30,0.9021
39,25,-0.8834
39,27,0.7859
39,28,0.6868
39,7,-0.164
39,1,0.6868
39,23,0.0299
39,3,-0.3406
39,20,-0.2321
39,32,0.3935
39,19,0.1679
39,5,-0.1704
39,4,0.4995
39,37,0.2118
39,34,0.8318
39,43,0.2374
39,9,0.6041
39,11,-0.6577
39,44,-0.1631
39,8,0.6694
39,13,-0.251
39,36,-0.7512
39,26,0.2062
39,46,0.3695
22,2,0.9928
22,24,-0.9632
22,15,0.9686
22,21,0.9803
22,47,0.9777
22,10,-0.9468
