gene,log2FC,pvalue,-log10(p),significant
BRCA1,-0.30656178137471496,0.08142970733893345,1.0892171260731174,0
TP53,0.6110753410402874,0.08190478069501188,1.0866907481923473,0
EGFR,1.4625713261678646,0.0001838934536202617,3.735433730833705,1
MYC,-0.07347285352075915,0.6273861823990973,0.20246505046758032,0
ALK,0.08724239735948514,0.39153348647094155,0.4072310883502896,0
KRAS,-0.17283659686221545,0.6995966617021947,0.15515227153151837,0
PIK3CA,0.4898575610291694,0.007494029082051539,2.125284625873926,0
PTEN,-0.003990860196034443,0.9708554669968653,0.01284541948212435,0
APC,0.09296817830934721,0.1682627815694154,0.7740119359941444,0
RB1,0.0897611862446147,0.18813265420772843,0.7255358173607845,0
BRAF,-1.1441409756720797,0.00157321226338696,2.8032126768691255,1
CDH1,-0.13341334763872845,0.20599511787456623,0.6861430723748329,0
HER2,-0.7380031310975755,0.00032916090242896207,3.4825917556825727,0
MET,-0.05221752035238205,0.5787402790890167,0.23751629061494853,0
RET,-0.5883372275018127,0.023510276383116466,1.628742265347335,0
ROS1,1.0247597305214766,0.00018922270110073979,3.723026762377305,1
NTRK1,-3.8888848075542026,9.104474283356252e-05,4.040745126467533,1
FGFR1,-0.8448554898735874,0.0003759277513035523,3.4248956131179664,0
JAK2,-1.6956893185876871,0.0003503060746231099,3.4555523315592076,1
FLT3,0.04175646507875483,0.6817255953079255,0.16639040015979598,0
KIT,-0.04988538343386316,0.5848144640179256,0.23298189465913968,0
PDGFRA,0.6159006778938304,0.0005182293198989123,3.2854780195437687,0
SMAD4,0.7150609008381245,0.0006022275738891852,3.2202393635463373,0
VHL,0.008626005015598445,0.9702293437938183,0.01312559462954106,0
WT1,-2.6796256963677183,0.001104238679003531,2.9569370445680994,1
NF1,-0.298285253016846,0.03717511216739042,1.4297477124198557,0
NF2,0.012184061246383104,0.8444095775431456,0.07344684943999795,0
MLH1,0.28462955346438695,0.04846923471787853,1.3145338373109987,0
MSH2,0.21098765806419875,0.16411330120932716,0.7848562184124049,0
MSH6,-3.6315629135832954,0.00046279803934641523,3.3346084896140575,1
ATM,0.22136668717245064,0.04371034962635758,1.3594157197013665,0
CHEK2,0.9984411721434379,0.003050044601333063,2.515693809842982,0
PALB2,0.17900429535317477,0.2883666420331916,0.5400549798014693,0
RAD51,-3.1940106199666256,0.01841453631820873,1.7348392122952812,1
BRCA2,0.18473247745401372,0.06661548618246062,1.1764247981303315,0
CDK4,0.31122735285959363,0.15380438086058845,0.8130312942063476,0
CDK6,-0.09051229290544242,0.08402189492181014,1.075607528168108,0
CCND1,0.03908216524054845,0.8916924606798403,0.04978490533187752,0
CCNE1,0.7899713261048568,0.000714371961690673,3.1460755993630487,0
CDKN2A,2.270156571149132,0.0003034612288539361,3.517896787851954,1
ARID1A,0.36482605332507645,0.01802884887553776,1.7440320016725799,0
KDM6A,1.04645931109266,0.014305084635782334,1.8445095683554327,1
PBRM1,0.47521549495799187,0.0027834483606779294,2.5554168314364953,0
STK11,0.025641883257183903,0.8412278090082901,0.07508637899662728,0
KEAP1,-0.026123586931079575,0.8780882159811118,0.05646185107649422,0
NOTCH1,-3.069348046690735,0.01869593947102402,1.7282527066621933,1
FBXW7,0.033052878469510806,0.6381856174243875,0.1950529875815692,0
PTCH1,0.824700286643812,0.0015423985982664955,2.8118033781283573,0
SMO,0.33136779077366796,0.007867467657276936,2.1041650337715936,0
GLI1,0.3079932471006163,0.012979184718266,1.886752586694239,0
