protein,sample,value
NTRK1,ctrl1,8.643
NTRK1,ctrl2,8.699
NTRK1,ctrl3,8.929
NTRK1,treat1,3.182
NTRK1,treat2,5.632
NTRK1,treat3,4.323
MSH6,ctrl1,6.918
MSH6,ctrl2,7.35
MSH6,ctrl3,7.043
MSH6,treat1,3.182
MSH6,treat2,3.226
MSH6,treat3,3.323
WT1,ctrl1,8.303
WT1,ctrl2,8.472
WT1,ctrl3,8.11
WT1,treat1,3.182
WT1,treat2,6.189
WT1,treat3,5.756
RAD51,ctrl1,7.159
RAD51,ctrl2,6.577
RAD51,ctrl3,6.043
RAD51,treat1,3.182
RAD51,treat2,3.226
RAD51,treat3,3.323
NOTCH1,ctrl1,6.857
NOTCH1,ctrl2,6.806
NOTCH1,ctrl3,5.68
NOTCH1,treat1,3.182
NOTCH1,treat2,3.226
NOTCH1,treat3,3.323
CDKN2A,ctrl1,6.614
CDKN2A,ctrl2,5.207
CDKN2A,ctrl3,7.019
CDKN2A,treat1,8.645
CDKN2A,treat2,8.576
CDKN2A,treat3,8.67
JAK2,ctrl1,9.054
JAK2,ctrl2,8.864
JAK2,ctrl3,9.107
JAK2,treat1,7.155
JAK2,treat2,7.435
JAK2,treat3,6.944
EGFR,ctrl1,6.93
EGFR,ctrl2,7.607
EGFR,ctrl3,7.235
EGFR,treat1,8.588
EGFR,treat2,8.604
EGFR,treat3,8.722
BRAF,ctrl1,8.747
BRAF,ctrl2,8.569
BRAF,ctrl3,8.769
BRAF,treat1,7.693
BRAF,treat2,7.279
BRAF,treat3,7.277
KDM6A,ctrl1,6.918
KDM6A,ctrl2,6.06
KDM6A,ctrl3,6.492
KDM6A,treat1,7.218
KDM6A,treat2,7.692
KDM6A,treat3,7.493
KRAS,ctrl1,6.522
KRAS,ctrl2,6.545
KRAS,ctrl3,7.019
KRAS,treat1,6.182
KRAS,treat2,5.604
KRAS,treat3,7.13
FGFR1,ctrl1,8.462
FGFR1,ctrl2,8.611
FGFR1,ctrl3,8.573
FGFR1,treat1,7.602
FGFR1,treat2,7.387
FGFR1,treat3,7.763
CHEK2,ctrl1,7.458
CHEK2,ctrl2,7.247
CHEK2,ctrl3,7.153
CHEK2,treat1,7.932
CHEK2,treat2,8.317
CHEK2,treat3,8.287
TP53,ctrl1,6.988
TP53,ctrl2,6.765
TP53,ctrl3,5.873
TP53,treat1,6.958
TP53,treat2,7.084
TP53,treat3,7.332
ROS1,ctrl1,8.049
ROS1,ctrl2,7.986
ROS1,ctrl3,7.948
ROS1,treat1,8.902
ROS1,treat2,8.94
ROS1,treat3,8.887
HER2,ctrl1,8.764
HER2,ctrl2,8.917
HER2,ctrl3,8.978
HER2,treat1,8.03
HER2,treat2,7.937
HER2,treat3,8.136
RET,ctrl1,7.844
RET,ctrl2,7.724
RET,ctrl3,7.731
RET,treat1,6.602
RET,treat2,7.305
